source,target
in14,m25
in22,m25
in20,m26
m25,m26
in23,m27
in18,m27
in12,m28
in24,m28
in12,m29
in16,m29
in7,m30
in23,m30
in15,m31
m30,m31
in13,m32
m27,m32
in23,m33
in12,m33
m28,m34
in11,m34
in23,m35
in21,m35
in13,m36
m32,m36
m27,m37
m31,m37
m33,m38
m35,m38
in15,m39
in20,m39
m34,m40
in19,m40
m37,m41
m37,m41
m26,m42
m27,m42
m25,m43
in24,m43
in21,m44
m38,m44
m33,m45
in21,m45
m43,m46
m44,m46
m46,m47
m45,m47
m41,m48
m30,m48
m34,m49
m41,m49
m31,m50
m35,m50
m39,m51
m43,m51
m41,m52
m37,m52
m48,m53
m30,m53
m45,m54
m37,m54
m33,m55
m37,m55
m52,m56
m54,m56
m55,m57
m44,m57
m35,m58
m36,m58
m50,m59
m54,m59
m49,m60
m57,m60
m39,m61
m54,m61
m58,m62
m47,m62
m62,m63
m56,m63
m63,m64
m54,m64
m63,m65
m56,m65
m61,m66
m44,m66
m63,m67
m53,m67
m51,m68
m45,m68
m57,m69
m53,m69
m67,m70
m69,m70
m52,m71
m59,m71
m56,m72
m62,m72
m72,m73
m50,m73
m58,m74
m57,m74
m61,m75
m68,m75
m56,m76
m56,m76
m71,m77
m68,m77
m57,m78
m61,m78
m70,m79
m61,m79
m58,m80
m57,m80
m77,m81
m74,m81
m80,m82
m72,m82
m79,m83
m64,m83
m64,m84
m76,m84
m80,m85
m70,m85
m82,m86
m62,m86
m69,m87
m80,m87
m77,m88
m79,m88
m70,m89
m86,m89
m79,m90
m86,m90
m89,m91
m83,m91
m77,m92
m90,m92
m79,m93
m70,m93
m70,m94
m76,m94
m81,m95
m85,m95
m89,m96
m73,m96
m81,m97
m74,m97
m93,m98
m74,m98
m94,m99
m77,m99
m78,m100
m90,m100
m81,m101
m96,m101
m92,m102
m86,m102
m101,m103
m87,m103
m98,m104
m99,m104
m93,m105
m101,m105
m105,m106
m100,m106
m95,m107
m94,m107
m93,m108
m105,m108
m101,m109
m104,m109
m109,m110
m107,m110
m91,m111
m110,m111
m95,m112
m102,m112
m92,m113
m93,m113
m29,o114
m40,o115
m42,o116
m60,o117
m65,o118
m66,o119
m75,o120
m84,o121
m88,o122
m97,o123
m103,o124
m106,o125
m108,o126
m111,o127
m112,o128
m113,o129
